surveycode,factor,varname,label,qraw,demographic,in_loop,in_report,,,,,
tch-hs,sum_eng,ts_expbest,How much do you try to do your best in this class?,,,1,1,,ts_expbest,sum_eng,m_ts_expbest,m_sum_eng
tch-hs,sum_eng,ts_pride,How much pride do you take in your class work?,,,1,1,,ts_pride,sum_eng,m_ts_pride,m_sum_eng
tch-hs,sum_eng,ts_trybest,How much do your teacher's expectations make you want to do your best?,,,1,1,,ts_trybest,sum_eng,m_ts_trybest,m_sum_eng
tch-hs,sum_eng,ts_enjoy,How often do you enjoy coming to this class?,,,1,1,,ts_enjoy,sum_eng,m_ts_enjoy,m_sum_eng
tch-hs,sum_expec,ts_teachassign,How well do your teacher's assignments help you better understand the subject?,,,1,1,,ts_teachassign,sum_expec,m_ts_teachassign,m_sum_expec
tch-hs,sum_expec,ts_learnlot,"In this class, how much do you learn every day?",,,1,1,,ts_learnlot,sum_expec,m_ts_learnlot,m_sum_expec
tch-hs,sum_expec,ts_think,How much does the work that you do for your class make you really think?,,,1,1,,ts_think,sum_expec,m_ts_think,m_sum_expec
tch-hs,sum_expec,ts_teachundr,How well does your teacher understand the subject that (s)he is teaching?,,,1,1,,ts_teachundr,sum_expec,m_ts_teachundr,m_sum_expec
tch-hs,sum_expec,ts_fulleffort,How much effort does your teacher expect you to give in class?,,,1,1,,ts_fulleffort,sum_expec,m_ts_fulleffort,m_sum_expec
tch-hs,sum_expec,ts_nomem,"How much does your teacher want you to use your thinking skills, not just memorize things?",,,1,1,,ts_nomem,sum_expec,m_ts_nomem,m_sum_expec
tch-hs,sum_expec,ts_nogiveup,"When the work gets difficult, how hard does your teacher expect you to try?",,,1,1,,ts_nogiveup,sum_expec,m_ts_nogiveup,m_sum_expec
tch-hs,sum_rele,ts_under,How much does your teacher try to understand what your life is like outside of school?,,,1,1,,ts_under,sum_rele,m_ts_under,m_sum_rele
tch-hs,sum_rele,ts_feelcare,How much do you think your teacher cares about you?,,,1,1,,ts_feelcare,sum_rele,m_ts_feelcare,m_sum_rele
tch-hs,sum_rele,ts_helpout,How much does what you learn in this class help you outside of school?,,,1,1,,ts_helpout,sum_rele,m_ts_helpout,m_sum_rele
tch-hs,sum_rele,ts_connect,How well does your teacher connect what you're learning in class with your life outside of school?,,,1,1,,ts_connect,sum_rele,m_ts_connect,m_sum_rele
tch-hs,sum_met,ts_askexpl,How often does your teacher ask students to explain more about answers they give?,,,1,1,,ts_askexpl,sum_met,m_ts_askexpl,m_sum_met
tch-hs,sum_met,ts_explain,How often does your teacher want you to explain your answers - why you think what you think?,,,1,1,,ts_explain,sum_met,m_ts_explain,m_sum_met
tch-hs,sum_met,ts_askqns,How often does your teacher ask questions to be sure that you and your classmates are following along when (s)he is teaching?,,,1,1,,ts_askqns,sum_met,m_ts_askqns,m_sum_met
tch-hs,sum_met,ts_tryexp,"If someone doesn't understand something, how often does your teacher explain it another way?",,,1,1,,ts_tryexp,sum_met,m_ts_tryexp,m_sum_met
tch-hs,sum_met,ts_correct,"In this class, how much have you learned to correct your mistakes?",,,1,1,,ts_correct,sum_met,m_ts_correct,m_sum_met
tch-hs,sum_rel,ts_fair,How fair is your teacher?,,,1,1,,ts_fair,sum_rel,m_ts_fair,m_sum_rel
tch-hs,sum_rel,ts_adultresp,How respectful is your teacher to students in this class?,,,1,1,,ts_adultresp,sum_rel,m_ts_adultresp,m_sum_rel
tch-hs,sum_rel,ts_believe,How much does your teacher believe that you can get a good grade if you try?,,,1,1,,ts_believe,sum_rel,m_ts_believe,m_sum_rel
tch-hs,sum_rel,ts_extra,How willing is your teacher to give extra help on school work if you need it?,,,1,1,,ts_extra,sum_rel,m_ts_extra,m_sum_rel
tch-hs,sum_rel,ts_discipline,How fair is discipline in this class?,,,1,1,,ts_discipline,sum_rel,m_ts_discipline,m_sum_rel
tch-hs,sum_env,ts_bevwants,How many of your classmates behave the way your teacher wants them to?,,,1,1,,ts_bevwants,sum_env,m_ts_bevwants,m_sum_env
tch-hs,sum_env,ts_bevcontrol,How under control is student behavior in this classroom?,,,1,1,,ts_bevcontrol,sum_env,m_ts_bevcontrol,m_sum_env
tch-hs,sum_env,ts_studresp,How respectful are students to the teacher in this class?,,,1,1,,ts_studresp,sum_env,m_ts_studresp,m_sum_env
tch-hs,sum_env,ts_classbusy,How often does your class stay busy and not waste time?,,,1,1,,ts_classbusy,sum_env,m_ts_classbusy,m_sum_env
tch-hs,sum_env,ts_dowell,How many students in this class want to do well?,,,1,1,,ts_dowell,sum_env,m_ts_dowell,m_sum_env
tch-ms,,m_grade,Grade Level,m_grade,1,,1,,,,,
tch-ms,,m_gender,Gender,m_gender,1,,1,,,,,
tch-ms,m_ts_expbest,m_sum_eng,How much do you try to do your best in this class?,,,1,1,,,,,
tch-ms,m_ts_pride,m_sum_eng,How much pride do you take in your class work?,,,1,1,,,,,
tch-ms,m_ts_trybest,m_sum_eng,How much do your teacher's expectations make you want to do your best?,,,1,1,,,,,
tch-ms,m_ts_enjoy,m_sum_eng,How often do you enjoy coming to this class?,,,1,1,,,,,
tch-ms,m_ts_teachassign,m_sum_expec,How well do your teacher's assignments help you better understand the subject?,,,1,1,,,,,
tch-ms,m_ts_learnlot,m_sum_expec,"In this class, how much do you learn every day?",,,1,1,,,,,
tch-ms,m_ts_think,m_sum_expec,How much does the work that you do for your class make you really think?,,,1,1,,,,,
tch-ms,m_ts_teachundr,m_sum_expec,How well does your teacher understand the subject that (s)he is teaching?,,,1,1,,,,,
tch-ms,m_ts_fulleffort,m_sum_expec,How much effort does your teacher expect you to give in class?,,,1,1,,,,,
tch-ms,m_ts_nomem,m_sum_expec,"How much does your teacher want you to use your thinking skills, not just memorize things?",,,1,1,,,,,
tch-ms,m_ts_nogiveup,m_sum_expec,"When the work gets difficult, how hard does your teacher expect you to try?",,,1,1,,,,,
tch-ms,m_ts_under,m_sum_rele,How much does your teacher try to understand what your life is like outside of school?,,,1,1,,,,,
tch-ms,m_ts_feelcare,m_sum_rele,How much do you think your teacher cares about you?,,,1,1,,,,,
tch-ms,m_ts_helpout,m_sum_rele,How much does what you learn in this class help you outside of school?,,,1,1,,,,,
tch-ms,m_ts_connect,m_sum_rele,How well does your teacher connect what you're learning in class with your life outside of school?,,,1,1,,,,,
tch-ms,m_ts_askexpl,m_sum_met,How often does your teacher ask students to explain more about answers they give?,,,1,1,,,,,
tch-ms,m_ts_explain,m_sum_met,How often does your teacher want you to explain your answers - why you think what you think?,,,1,1,,,,,
tch-ms,m_ts_askqns,m_sum_met,How often does your teacher ask questions to be sure that you and your classmates are following along when (s)he is teaching?,,,1,1,,,,,
tch-ms,m_ts_tryexp,m_sum_met,"If someone doesn't understand something, how often does your teacher explain it another way?",,,1,1,,,,,
tch-ms,m_ts_correct,m_sum_met,"In this class, how much have you learned to correct your mistakes?",,,1,1,,,,,
tch-ms,m_ts_fair,m_sum_rel,How fair is your teacher?,,,1,1,,,,,
tch-ms,m_ts_adultresp,m_sum_rel,How respectful is your teacher to students in this class?,,,1,1,,,,,
tch-ms,m_ts_believe,m_sum_rel,How much does your teacher believe that you can get a good grade if you try?,,,1,1,,,,,
tch-ms,m_ts_extra,m_sum_rel,How willing is your teacher to give extra help on school work if you need it?,,,1,1,,,,,
tch-ms,m_ts_discipline,m_sum_rel,How fair is discipline in this class?,,,1,1,,,,,
tch-ms,m_ts_bevwants,m_sum_env,How many of your classmates behave the way your teacher wants them to?,,,1,1,,,,,
tch-ms,m_ts_bevcontrol,m_sum_env,How under control is student behavior in this classroom?,,,1,1,,,,,
tch-ms,m_ts_studresp,m_sum_env,How respectful are students to the teacher in this class?,,,1,1,,,,,
tch-ms,m_ts_classbusy,m_sum_env,How often does your class stay busy and not waste time?,,,1,1,,,,,
tch-ms,m_ts_dowell,m_sum_env,How many students in this class want to do well?,,,1,1,,,,,
